"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"MAGADSUGAR.NS","MAGADH SUGAR & ENE","1262055781","53","71.331","95.3504","66.435","52.20892","50","99.6678","74.51537","71.331","907.9","838.8","-7.61",""
"GANECOS.NS","Ganesha Ecosphere Limited","177876231","48.3","71.321","99.8","60.692","53.4713","60.86733","100","72.48254","71.321","1834.9","1933.85","5.39",""
"TIPSINDLTD.NS","Tips Industries Limited","1609753432","66","71.26","99.8","61.716","52.26312","100","100","65.90404","71.26","754.9","722","-4.36",""
"TRIVENI.NS","Triveni Engineering & Industries Ltd","429306955","57.95","71.251","87.9629","74.008","51.78221","54.750565","98.69676","74.48362","71.251","476.85","462.3","-3.05",""
"FIEMIND.NS","FIEM INDUSTRIES LT","314444027","54.25","71.228","98.9337","63.785","50.96526","68.892555","99.8906","75.89179","71.228","1545","1626.35","5.27",""
"JKTYRE.NS","JK Tyre & Industries Ltd","54782711","48.55","71.2","91.4623","72.976","49.16285","38.223515","29.21747","67.47918","71.2","405.9","415","2.24",""
"HINDZINC.NS","HINDUSTAN ZINC","1086152130","4.4","71.133","82.7928","82.032","48.57453","22.762585","0.03242","67.41793","71.133","502","486.85","-3.02",""
"EKC.NS","Everest Kanto Cylinder Ltd","103010997","76.9","71.117","90.0855","74.369","48.89677","100","100","68.33447","71.117","184.25","186.9","1.44",""
"MBLINFRA.NS","MBL Infrastructures Limited","70236368","51.95","71.05","99.8","67.951","45.39837","50","100","76.09489","71.05","66.18","66.1","-0.12",""
"LOVABLE.NS","Lovable Lingerie Limited","1656027953","100","70.998","79.1336","84.815","49.04656","100","100","81.51524","70.998","168.4","160.99","-4.4",""
"INDIACEM.NS","India Cements Ltd","342116753","14.9","70.967","89.4259","74.609","48.86721","77.38839","100","81.1916","70.967","365","363.35","-0.45",""
"TTKHLTCARE.NS","TTK HEALTHCARE","418828366","24.35","70.959","94.3734","68.32","50.1828","100","100","69.60433","70.959","1590.85","1732.7","8.92",""
"HINDCOMPOS.NS","HINDUSTAN COMPOSIT","195571720","5","70.833","93.761","70.921","47.81572","56.480325","100","77.9104","70.833","607","583","-3.95",""
"EVEREADY.NS","Eveready Industries India Limited","528704484","83.05","70.806","85.5545","80.56","46.30204","100","100","75.07906","70.806","458.7","453.1","-1.22",""
"VSSL.NS","VARDHMAN SPECIAL S","2533820310","32.45","70.753","87.2895","73.911","51.0579","15.06482","0","70.82826","70.753","287.5","285.5","-0.7",""
"ADVENZYMES.NS","ADVANCED ENZYME TE","18049849","27.65","70.747","92.9072","69.578","49.7561","100","100","70.06341","70.747","448.2","456.25","1.8",""
"DCMSHRIRAM.NS","DCM Shriram Ltd","1326185","3.45","70.722","80.1112","82.442","49.61419","100","100","72.94339","70.722","1152","1123.05","-2.51",""
"TORNTPHARM.NS","TORRENT PHARM","26602003","41.3","70.534","99.8","55.155","56.64745","100","100","71.47171","70.534","3503.45","3416.7","-2.48",""
"KIRLOSENG.NS","KIRLOSKAR OIL ENGI","5023094445","83.2","70.53","99.8","59.141","52.64942","47.7054","33.32347","62.15931","70.53","1340","1325.1","-1.11",""
"DVL.NS","Dhunseri Ventures Limited","2298263577","100","70.459","87.9206","77.884","45.5728","100","100","64.5747","70.459","436","429.4","-1.51",""
"TI.NS","Tilaknagar Industries Ltd","10142075","49.05","70.419","95.8061","67.309","48.14289","52.59297","76.89104","70.75484","70.419","276.7","299.4","8.2",""
"HEROMOTOCO.NS","HERO MOTOCORP LTD","52781037","39.65","70.417","99.8","57.219","54.23208","49.779315","33.24157","59.1565","70.417","5535","5743.75","3.77",""
