"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"GODFRYPHLP.NS","Godfrey Phillips India Limited","1091323824","62.263","99.8","39.5","79.059","48","50","99.8134","69.66745",""
"GODREJAGRO.NS","GODREJ AGROVET LTD","300752988","52.579","91.0536","31.1","69.519","48.88889","20.90847","0","69.30987",""
"GOLDIAM.NS","Goldiam International Ltd","317085612","71.18","99.8","100","77.44","48","50","100","73.02323",""
"GOODLUCK.NS","Goodluck India Limited","148254706","52.163","99.8","46.95","70.455","50.66667","50","34.66111","62.61167",""
"GPIL.NS","Godawari Power & Ispat Limited","515445995","41.785","67.0214","26.05","61.371","50","50","29.49525","58.55736",""
"GRASIM.NS","Grasim Industries Limited","1732150395","52.932","95.4896","49.05","55.063","54","36.70133","40.17496","50.15042",""
"GREENLAM.NS","GREENLAM INDUSTRIE","21035490","52.713","90.0213","18.85","74.397","46.88889","11.234505","9.36573","51.93668",""
"GROBTEA.NS","The Grob Tea Company Limited","7717830","54.701","77.0451","-91.4","82.037","46.875","97.80602","87.65641","85.08383",""
"GRPLTD.NS","GRP Limited","14293870","43.089","99.8","-9.85","65.149","50.44444","26.07826","0","48.23922",""
"GRSE.NS","GARDEN REACH SHIPB","2038783247","61.348","99.8","100","78.64","48.44444","28.19378","0","58.9363",""
"GSPL.NS","Gujarat State Petronet Limited","772150551","53.755","78.5653","11.75","74.733","49.77778","50","85.0754","76.3815",""
"GTPL.NS","GTPL HATHWAY LTD","12349986","44.064","71.6157","5.65","59.866","46.22222","14.458265","4.01917","49.99",""
"GUJALKALI.NS","Gujarat Alkalies & Chemicals Ltd","158651175","64.398","71.2699","32.3","78.264","42.66667","80.071245","99.34625","66.79361",""
"GUJAPOLLO.NS","Gujarat Apollo Industries Ltd","4201332","56.571","90.784","54.2","84.513","43.33333","50","39.50961","83.6586",""
"GUJGASLTD.NS","Gujarat Gas Limited","676735913","50.146","72.4036","14","61.766","50.88889","6.883245","0","65.73229",""
"GULFOILLUB.NS","GULF OIL LUBRICANT","177668296","55.789","99.8","64.15","66.174","51.77778","30.01874","12.71852","55.94124",""
"HAL.NS","Hindustan Aeronautics Limited","6584209828","54.754","99.8","70.4","49.618","54.44444","19.08313","0.38014","46.80032",""
"HARRMALAYA.NS","HARRISONS MALAYALA","8771031","72.795","97.126","11.35","78.841","48","100","100","74.24708",""
"HDFCBANK.NS","HDFC Bank Limited","25847893195","61.831","70.7552","57.4","46.016","54","75.45905","96.37348","57.35679",""
"HEG.NS","HEG Limited","1009291105","76.655","89.4347","76.8","76.987","51.55556","86.159165","92.27557","77.21271",""
"HEIDELBERG.NS","HeidelbergCement India Limited","222093176","45.564","77.9356","10","40.676","50.44444","32.57266","37.0567","67.98258",""
"HERITGFOOD.NS","Heritage Foods Limited","345657476","62.911","99.8","54.3","66.038","51.55556","77.05843","57.90823","56.65664",""
"HEROMOTOCO.NS","HERO MOTOCORP LTD","3948390536","54.115","99.8","56.2","53.185","52","21.63125","13.75893","47.12128",""
"HFCL.NS","Himachal Futuristic Communications Ltd","3660210640","56.967","84.4636","100","64.522","48.22222","38.690225","11.43277","67.51213",""
"HGINFRA.NS","H.G. INFRA ENGINEE","207008492","56.695","94.3401","63.4","63.17","48.22222","11.249195","0","50.23382",""
"HGS.NS","Hinduja Global Solutions Ltd","53473002","47.892","41.9855","44.8","64.639","44.22222","9.398695","0","58.39326",""
"HIL.NS","HIL Limited","48090345","43.174","64.2466","25.05","54.647","46","30.34218","13.91945","59.04156",""
"HINDALCO.NS","Hindalco Industries Ltd","4300676976","62.744","77.7279","75.85","43.261","55.11111","73.843665","87.63996","51.93362",""
"HINDCOMPOS.NS","HINDUSTAN COMPOSIT","5554342","60.777","89.6762","69","67.758","48.22222","9.41958","0","69.61987",""
"HINDPETRO.NS","Hindustan Petroleum Corp Ltd","3219523768","57.584","94.1281","86.45","58.105","54","50","50.7809","59.62158",""
"HINDZINC.NS","HINDUSTAN ZINC","1442755062","54.456","82.9418","47","78.539","48.66667","71.5765","26.79018","54.10085",""
"HITECH.NS","Hi-Tech Pipes Limited","301903897","55.499","95.6017","32.9","64.035","48.22222","50","78.30244","69.43129",""
"HMVL.NS","HINDUSTAN MEDIA VE","15277730","54.53","87.5538","100","64.535","47.77778","50","13.30737","68.53486",""
