"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"603970.SS","Sino-Agri Leading Biosciences Co.,Ltd","144480399","82.7","51.658","49.3593","62.67","42.94383","0","0","47.34284","51.658","12.65","12.52","-1.03",""
"601222.SS","Jiangsu Linyang Energy Co., Ltd","642909135","70.35","51.623","57.3988","53.801","43.6684","27.75963","0.21593","57.93806","51.623","6.23","6.28","0.8",""
"603198.SS","Anhui Yingjia Distillery Co., Ltd","200388083","78.4","51.519","55.7234","57.016","41.81638","14.299775","0","43.1845","51.519","52.15","50.72","-2.74",""
"600850.SS","Shanghai East-China Computer Co.,Ltd","291580226","100","51.512","53.693","54.395","46.4489","0","0","50.1281","51.512","16.68","16.41","-1.62",""
"603203.SS","Quick Intelligent Equipment Co.,Ltd","208541811","100","51.446","53.0135","58.192","43.1319","25.327655","23.48959","51.30709","51.446","19.98","19.85","-0.65",""
"600436.SS","ZHANGZHOU PIENTZEHUANG PHARMACE","80025689","50.85","51.29","52.4137","57.265","44.19104","39.74076","4.36766","44.94893","51.29","208.7","207.5","-0.57",""
"600638.SS","Shanghai New Huang Pu Real Estate Co Ltd","141884509","100","51.263","58.0932","49.641","46.05395","34.04779","9.1292","55.97271","51.263","4.05","3.93","-2.96",""
"601952.SS","Jiangsu Provincial Agricultural Reclamation and Development Co.,Ltd","104675961","66.6","51.165","56.9327","48.792","47.76936","49.13628","9.156","54.8556","51.165","9.66","9.6","-0.62",""
"688036.SS","SHENZHEN TRANSSION HOLDINGS CO","239330243","73.9","51.143","58.9609","52.627","41.84014","50","0","40.0654","51.143","73.53","77.54","5.45",""
"603758.SS","Chongqing Qin'an M&E PLC","81323577","100","51.084","52.9981","57.114","43.13883","30.33328","0","36.41266","51.084","6.98","6.98","0",""
"600408.SS","Shanxi Antai Group Co., Ltd","155418503","75.75","51.073","52.6852","60.676","39.85845","46.548825","0","45.74691","51.073","1.58","1.55","-1.9",""
"600287.SS","Jiangsu Sainty Corp., Ltd","1327539007","32.7","50.773","49.3095","54.015","48.99578","0","0","45.56943","50.773","2.87","2.84","-1.05",""
"600998.SS","Jointown Pharmaceutical Group Co., Ltd","229673026","41.95","50.753","53.6754","53.304","45.27988","50","0","38.58079","50.753","4.62","4.81","4.11",""
"600295.SS","Inner Mongolia Eerduosi Resourses Co Ltd","2506293246","53.75","50.718","54.8418","49.114","48.19797","0","0","45.83694","50.718","8.42","8.14","-3.33",""
"603605.SS","PROYA COSMETICS CO LTD","42265577","51.7","50.69","54.6187","54.335","43.11705","0","0","49.73963","50.69","87.44","86.24","-1.37",""
"601369.SS","Xi'an Shaangu Power Co., Ltd","1700496721","78.85","50.662","53.8418","52.911","45.23435","19.159405","0","46.92662","50.662","7.68","7.5","-2.34",""
"600104.SS","SAIC Motor Corporation Limited","742765159","31.95","50.655","55.4602","52.731","43.77233","58.73437","40.55354","41.60867","50.655","13.85","13.08","-5.56",""
"603339.SS","Square Technology Group Co.,Ltd","50319117","53.5","50.485","54.6862","50.282","46.48552","50","16.97659","46.10696","50.485","9.63","9.52","-1.14",""
"601311.SS","Camel Group Co., Ltd","94135974","100","50.242","54.0979","53.739","42.89037","0","0","45.8659","50.242","7.16","7.01","-2.09",""
"600109.SS","Sinolink Securities Co., Ltd","232064669","66","50.203","53.0523","54.716","42.83989","31.241025","0.05871","45.2321","50.203","7.54","7.56","0.27",""
"603596.SS","Bethel Automotive Safety Systems Co., Ltd","17220106","89.3","50.177","51.746","56.452","42.33309","100","69.27055","47.05859","50.177","36.9","35.29","-4.36",""
"600073.SS","Shanghai Maling Aquarius Co.,Ltd","1518725106","61.75","50.132","51.4007","52.354","46.64093","31.37823","0.77315","49.65113","50.132","5.82","5.71","-1.89",""
"603538.SS","Ningbo Menovo Pharmaceutical Co., Ltd","48782829","63","50.101","48.2727","57.674","44.35734","50","15.9215","52.85855","50.101","12","12.17","1.42",""
"600143.SS","Kingfa Sci. & Tech. Co., Ltd","14432432","91","50.011","52.5801","56.982","40.47216","14.0827","5.02583","46.22678","50.011","6.8","6.84","0.59",""
"601100.SS","JIANGSU HENGLI HYDRAULIC CO LTD","14476292","68.5","49.962","51.7123","55.602","42.57263","6.684445","0","48.73101","49.962","44.62","44.39","-0.52",""
