"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"DOD.BK","DOD BIOTECH PCL","165639824","-17.8","57.831","60.6201","78.24","34.63199","100","100","83.75777","57.831","2.84","2.78","-2.11",""
"ASAP.BK","SYNERGETIC AUTO PERFORMANCE PCL","355538","17.95","57.793","63.8728","72.978","36.52719","83.470795","94.33155","35.77349","57.793","2.48","2.34","-5.65",""
"CPN.BK","Central Pattana PCL","303506","47.75","57.698","71.4383","58.272","43.38345","100","100","53.82748","57.698","66","67.75","2.65",""
"SIMAT.BK","SIMAT TECHNOLOGIES PCL","91660103","18.95","57.674","74.2208","63.827","34.97411","96.72121","100","74.12382","57.674","1.93","1.95","1.04",""
"UOBKH.BK","Uob Kay Hian Securities (Thailand) PCL","104254","-9.45","57.654","69.8418","68.784","34.3369","100","95.66649","43.74685","57.654","5.05","5.3","4.95",""
"RWI.BK","RAYONG WIRE INDUSTRIES PCL","2029259","33.6","57.617","65.649","77.369","29.83317","100","100","73.22659","57.617","0.59","0.58","-1.69",""
"CIVIL.BK","CIVIL ENGINEERING PCL","758911","-13.25","57.523","62.9735","76.353","33.24252","79.385355","100","83.65957","57.523","2.1","2.02","-3.81",""
"SR.BK","Siamraj PCL","853064","52.75","57.502","64.0102","74.288","34.20881","100","100","68.79552","57.502","0.68","0.68","0",""
"ACC.BK","ADVANCED CONNECTION CORPORATION PCL","42643","61.5","57.44","83.7099","50.803","37.80834","100","99.39824","82.21765","57.44","0.78","0.95","21.79",""
"DELTA.BK","Delta Electronics (Thailand) PCL","15690229","18.05","57.431","81.9718","42.3","48.02075","50","100","66.36567","57.431","108","117","8.33",""
"ETE.BK","Eastern Technical Engineering PCL","557151","-1.55","57.422","71.1261","64.372","36.7685","78.09653","90.96133","44.65055","57.422","1.14","1.09","-4.39",""
"TYCN.BK","TYCOONS WORLDWIDE GROUP (THAILAND) PCL.","58374614","-25.35","57.401","55.5722","84.417","32.21253","34.23226","5.25388","83.67229","57.401","2.3","2.22","-3.48",""
"TFG.BK","THAIFOODS GROUP PCL","873065","-7.2","57.389","70.3773","60.504","41.28641","90.5809","98.87797","65.85946","57.389","4.34","4.24","-2.3",""
"CPW.BK","COPPERWIRED PCL","18615","-5.5","57.315","67.8549","64.929","39.1615","100","99.00861","66.39287","57.315","2.6","2.72","4.62",""
"ZIGA.BK","ZIGA INNOVATION PCL","1986797","52.35","57.276","66.1278","65.231","40.4681","100","100","71.92576","57.276","2","2.02","1",""
"BTNC.BK","Boutique Newcity PCL","522856","8","57.229","70.3209","63.658","37.70764","100","100","55.57715","57.229","19.5","18.1","-7.18",""
"PM.BK","Premier Marketing PCL","613190","-7.1","57.121","69.8873","66.589","34.88816","100","100","59.76621","57.121","8.45","8.8","4.14",""
"VGI.BK","VGI PCL","215424","90.5","57.057","74.7587","56.167","40.24396","95.76838","100","53.69786","57.057","2.54","2.82","11.02",""
"SIM.BK","Samart I-Mobile PCL","77942","57.85","56.868","78.7047","73.987","17.91223","67.62523","49.61175","46.65845","56.868","0.02","0.04","100",""
"SCM.BK","SUCCESSMORE BEING PCL","1951933","36.5","56.861","63.1551","72.006","35.42255","50","79.31241","58.55667","56.861","3.88","3.78","-2.58",""
"ITD.BK","Italian-Thai Development PCL","61871382","28.95","56.821","59.5113","75.35","35.60288","100","97.46923","72.26334","56.821","0.78","0.72","-7.69",""
"ASIAN.BK","ASIAN SEA CORPORATION PCL","32467258","3.2","56.796","70.3115","59.088","40.98747","30.622855","0.6713","54.64488","56.796","9","9.2","2.22",""
"DCC.BK","Dynasty Ceramic PCL","325238","9.4","56.789","66.4674","67.456","36.44294","12.908515","35.55228","77.02817","56.789","1.99","1.96","-1.51",""
"WIIK.BK","WIIK PCL","2940645","-2.8","56.745","54.493","81.097","34.64575","58.817025","67.09484","69.47397","56.745","1.11","1.12","0.9",""
"SYMC.BK","Symphony Communication PCL","124157","25.8","56.604","75.45","48.646","45.71501","66.567285","67.50713","57.23032","56.604","7.9","8.5","7.59",""
