[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
K.BK	-0.348	60.969	37.07	26.11	26.6	0	-0.48	21.35	0.966	35.275
KAMART.BK	1.302	80.103	61.89	58.67	53.94	0	0.88	61.61	1.0	70.38
KASET.BK	1.015	76.771	56.77	42.35	44.37	0	0.4	70.46	1.003	67.46
KBANK.BK	-0.418	60.155	59.53	70.33	63.38	0	0.24	71.14	1.005	66.613
KBS.BK	0.982	76.395	43.64	39.22	36.62	0	0.18	51.34	0.99	46.038
KBSPIF.BK	1.647	84.111	49.79	44.43	38.35	5	0.12	32.25	0.996	54.595
KC.BK	0.506	70.872	53.99	31.96	36.86	0	0.89	61.44	1.143	87.5
KCAR.BK	0.342	68.964	53.6	50.87	49.94	0	0.28	72.5	1.007	36.957
KCE.BK	4.785	99.8	76.41	83.18	71.88	0	1.15	84.28	1.086	87.318
KCM.BK	0.433	70.022	48.97	48.61	44.37	0	0.38	68.27	1.0	50.0
KEX.BK	0.643	72.459	47.5	49.69	42.12	5	0.04	64.12	1.0	37.078
KGI.BK	-0.343	61.016	54.44	59.94	50.66	0	0.54	61.92	0.998	60.446
KIAT.BK	1.08	77.531	51.66	45.33	43.47	0	0.36	86.4	1.035	54.31
KISS.BK	-2.017	41.606	30.04	43.38	31.72	5	0.19	25.67	0.983	32.03
KK.BK	-0.269	61.884	57.32	55.96	57.55	5	0.04	71.31	1.044	71.913
KKP.BK	2.495	93.94	68.96	90.15	71.41	0	0.58	80.61	1.037	74.693
KSL.BK	0.184	67.132	49.6	38.12	35.76	0	0.58	56.62	0.99	63.35
KTB.BK	-0.534	58.806	44.13	56.8	45.29	0	0.37	53.78	1.005	48.151
KTBSTMR.BK	0.103	66.19	54.05	49.48	43.58	5	0.09	64.91	1.002	64.174
KTC.BK	-1.062	52.684	57.65	41.31	45.78	0	0.47	69.06	1.01	73.643
KTIS.BK	-1.324	49.639	23.38	31.48	29.12	0	-0.1	9.83	0.984	31.949
KUMWEL.BK	0.012	65.143	41.84	41.46	42.95	5	0.68	50.95	1.0	47.235
KUN.BK	-0.809	55.612	33.33	53.01	37.63	5	0.77	36.73	0.992	36.224
KWM.BK	0.103	66.195	60.52	58.54	52.23	5	0.41	69.39	1.013	73.412
