"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"MFIN","Medallion Financial Corp","240303894","50","67.892","62.8608","93.757","47.05888","35.191665","8.28802","56.74184","67.892","8.1","72.294","-6.09","6.63","7.01","5.73",""
"CVV","CVD Equipment Corporation","96060111","50","67.804","86.6169","67.748","49.04755","50","62.78531","63.66781","67.804","10.9","71.813","-5.58","6.85","7.6","10.95",""
"HIMS","Hims Hers Health Inc","170653850","100","67.751","93.4253","59.919","49.90884","50","100","62.75319","67.751","13.11","64.681","4.75","9.12","9","-1.32",""
"LQDA","Liquidia Technologies Inc","645746","3.95","67.739","82.0485","73.397","47.77236","50","52.75639","52.49891","67.739","29.17","68.554","-1.19","8.72","8.89","1.95",""
"OMAB","Grupo Aeroportuario del Centro Norte SAB","5056758","36.7","67.73","90.7621","57.613","54.81547","82.61013","100","50.28704","67.73","11.53","68.531","-1.17","84.61","83.93","-0.8",""
"ICVX","Icosavax Inc","23701947","-258.8","67.706","68.6603","87.798","46.65925","24.798295","0","82.0166","67.706","116.19","70.583","-4.08","9.35","9.77","4.49",""
"MOD","Modine Manufacturing Company","122145231","100","67.667","88.7215","59.66","54.62035","18.71134","19.47101","53.30574","67.667","42.48","72.365","-6.49","25","30.44","21.76",""
"BWMN","Bowman Consulting Group Ltd","781619335","40.65","67.62","92.9363","59.193","50.73101","50","99.80549","62.65211","67.62","4.51","68.598","-1.43","27.55","28.09","1.96",""
"APGB","Apollo Strategic Growth Capital II","7505330","50","67.596","94.4563","71.189","37.14335","100","100","74.2819","67.596","1.07","62.519","8.12","10.22","10.24","0.2",""
"MANU","Manchester United Ltd","5402566186","-45.35","67.533","79.4955","73.352","49.75216","28.034495","25.43158","56.2153","67.533","4.85","70.879","-4.72","19.11","18.82","-1.52",""
"UFPT","UFP Technologies Inc","142116220","46.95","67.421","93.3436","55.985","52.93422","99.81782","96.09461","50.9906","67.421","17.38","65.985","2.18","151.38","159.86","5.6",""
"ABOS","Acumen Pharmaceuticals Inc","43910430","4.05","67.416","64.839","92.697","44.71249","0","0","44.0564","67.416","62.68","70.825","-4.81","4.88","5.17","5.94",""
"FHI","Federated Investors Inc B","561036301","96.25","67.4","90.1558","58.907","53.13723","67.837015","100","57.46999","67.4","0","64.62","4.3","35.4","35.87","1.33",""
"MRK","Merck & Co Inc","79894259","5.25","67.372","90.4702","56.616","55.02833","75.698165","59.90602","49.57685","67.372","4.16","66.473","1.35","112","112.52","0.46",""
"ELOX","Eloxx Pharmaceuticals Inc","25261469","50","67.349","68.8101","96.501","36.73516","64.51352","75.57353","77.7419","67.349","67.95","59.628","12.95","7.52","6.97","-7.31",""
"POWL","Powell Industries Inc","64335443","100","67.347","88.9658","58.611","54.46465","45.709415","56.41298","64.17588","67.347","54.09","71.782","-6.18","58.35","61.65","5.66",""
"CAH","Cardinal Health, Inc","2554322","24.55","67.27","92.0507","56.91","52.84848","17.99372","35.84707","44.83823","67.27","8.11","64.47","4.34","84.7","84.59","-0.13",""
"PMTS","CPI Card Group Inc","199716591","5","67.208","91.8706","56.825","52.92732","94.346885","100","64.75519","67.208","3.46","66.83","0.57","26.49","27.31","3.1",""
"SCYX","Scynexis Inc","12792967","-12.85","67.207","77.3618","78.666","45.59448","88.571665","88.91317","86.74716","67.207","5.59","50.614","32.78","2.64","2.49","-5.68",""
"PRTA","Prothena Corporation plc","5380208","37.15","67.177","83.0232","66.859","51.64819","0","3.5824","51.5378","67.177","50.74","67.358","-0.27","67.38","69.01","2.42",""
"HLX","Helix Energy Solutions Group Inc","42812745","86.8","67.086","92.3266","60.244","48.68687","21.15087","24.14786","52.94278","67.086","2.74","69.076","-2.88","6.63","7.03","6.03",""
"PCG","PG&E Corp","7285206","-6.6","67.071","91.9256","57.912","51.3762","88.740705","91.31848","56.30363","67.071","4.06","66.003","1.62","16.38","16.65","1.65",""
"MOMO","Hello Group Inc","4361736","82.7","67.062","79.2016","73.392","48.59226","31.21067","0","65.41154","67.062","14.02","66.339","1.09","8.33","8.88","6.6",""
